                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.6221,                 1.2375,                0.98352,                 0.7121,                0.57143,                0.61409,                0.42686,                 1.5975,                 1.1735,                0.98429,             0.00023873,             0.00023873,             0.00023873
                     63,                 1.6032,                 1.2084,                0.97865,                0.75394,                0.55447,                0.61873,                0.42805,                 1.6097,                 1.1759,                0.98508,             0.00023291,             0.00023291,             0.00023291
                     64,                 1.6245,                 1.2352,                0.97934,                0.68141,                0.56649,                0.62638,                0.43426,                 1.6125,                 1.1926,                0.98253,             0.00022709,             0.00022709,             0.00022709
                     65,                  1.632,                 1.2267,                0.97875,                0.72753,                0.57301,                0.63504,                0.44682,                 1.5948,                 1.1629,                0.98206,             0.00022126,             0.00022126,             0.00022126
                     66,                  1.624,                 1.2201,                0.97678,                0.68987,                0.56557,                0.63371,                0.43445,                 1.6187,                 1.1726,                 0.9847,             0.00021544,             0.00021544,             0.00021544
                     67,                  1.597,                  1.201,                0.96917,                 0.7515,                0.55457,                0.63293,                0.44722,                 1.5827,                 1.1638,                0.98117,             0.00020962,             0.00020962,             0.00020962
                     68,                 1.6024,                 1.2076,                0.97559,                0.75537,                 0.5601,                0.62686,                0.44066,                  1.593,                  1.158,                0.98133,              0.0002038,              0.0002038,              0.0002038
                     69,                 1.6154,                 1.2049,                0.97824,                0.78262,                0.55634,                0.63667,                0.44406,                 1.5997,                  1.154,                0.98393,             0.00019798,             0.00019798,             0.00019798
                     70,                 1.5744,                 1.1768,                0.97326,                0.71394,                 0.5754,                0.63791,                0.43916,                 1.5878,                 1.1467,                 0.9816,             0.00019216,             0.00019216,             0.00019216
                     71,                 1.6032,                 1.1934,                 0.9723,                0.74754,                0.56838,                0.63956,                0.44465,                 1.5897,                 1.1528,                 0.9815,             0.00018634,             0.00018634,             0.00018634
                     72,                 1.6029,                 1.1867,                0.97725,                0.72888,                0.55893,                0.62757,                0.43203,                 1.6162,                 1.1494,                0.98565,             0.00018052,             0.00018052,             0.00018052
                     73,                 1.5967,                 1.1911,                0.96891,                0.74136,                 0.5832,                0.63369,                0.44024,                 1.5944,                 1.1547,                0.98128,             0.00017469,             0.00017469,             0.00017469
                     74,                 1.5929,                 1.1798,                0.96781,                 0.7269,                0.60048,                0.65369,                0.45615,                 1.5789,                 1.1372,                0.97856,             0.00016887,             0.00016887,             0.00016887
                     75,                 1.5989,                 1.1798,                0.96895,                0.69462,                0.60646,                0.65252,                0.45569,                 1.5857,                 1.1391,                0.97934,             0.00016305,             0.00016305,             0.00016305
                     76,                 1.5733,                 1.1543,                0.96832,                0.68187,                0.60781,                0.65326,                0.45762,                  1.591,                 1.1505,                0.97815,             0.00015723,             0.00015723,             0.00015723
                     77,                 1.5829,                 1.1707,                0.97098,                 0.7471,                0.59191,                 0.6553,                0.45563,                  1.575,                 1.1357,                0.97718,             0.00015141,             0.00015141,             0.00015141
                     78,                 1.5838,                 1.1571,                 0.9673,                0.73396,                0.59019,                0.65417,                0.46163,                 1.5662,                 1.1266,                0.97432,             0.00014559,             0.00014559,             0.00014559
                     79,                 1.5939,                 1.1612,                 0.9645,                0.72672,                0.60776,                0.66271,                0.46281,                 1.5824,                 1.1165,                0.97657,             0.00013977,             0.00013977,             0.00013977
                     80,                 1.6031,                 1.1649,                0.97442,                0.73789,                0.59883,                0.66235,                 0.4623,                 1.5767,                 1.1225,                0.97388,             0.00013395,             0.00013395,             0.00013395
                     81,                  1.561,                 1.1376,                0.95896,                0.74839,                0.58786,                0.66764,                0.46485,                 1.5709,                 1.1132,                0.97505,             0.00012813,             0.00012813,             0.00012813
                     82,                 1.5969,                 1.1697,                0.96159,                0.72177,                0.62295,                0.67263,                0.47015,                 1.5733,                 1.1034,                0.97577,              0.0001223,              0.0001223,              0.0001223
                     83,                 1.5632,                 1.1358,                0.96535,                0.72005,                0.61378,                0.67294,                0.47182,                 1.5673,                 1.1071,                0.97458,             0.00011648,             0.00011648,             0.00011648
                     84,                 1.5745,                 1.1489,                0.96608,                  0.718,                 0.6154,                0.67645,                0.47606,                 1.5657,                 1.1129,                0.97444,             0.00011066,             0.00011066,             0.00011066
                     85,                 1.5687,                 1.1278,                0.96594,                0.70579,                0.63603,                0.67532,                 0.4774,                 1.5646,                 1.1019,                0.97335,             0.00010484,             0.00010484,             0.00010484
                     86,                 1.5487,                 1.1182,                0.96438,                0.71357,                0.62615,                0.68144,                0.47301,                 1.5756,                 1.1036,                0.97531,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     87,                 1.5582,                 1.1235,                0.96063,                0.76465,                0.60811,                0.67914,                0.47774,                 1.5554,                 1.0884,                0.97084,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     88,                 1.5615,                 1.1284,                0.96088,                0.72938,                0.63008,                0.68793,                0.48668,                  1.555,                 1.0856,                0.97039,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     89,                 1.5695,                 1.1369,                0.95955,                0.75816,                0.60635,                  0.675,                0.47436,                 1.5591,                  1.093,                 0.9707,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     90,                 1.5412,                 1.1172,                0.95867,                0.75387,                0.61153,                0.68126,                0.47762,                 1.5623,                 1.0941,                0.97169,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     91,                 1.6017,                 1.1717,                0.96433,                0.71893,                0.60543,                0.66231,                0.46505,                 1.5645,                 1.1178,                0.97291,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     92,                 1.5898,                 1.1482,                0.96483,                0.68748,                0.60908,                0.66123,                0.46208,                 1.5615,                 1.1187,                0.97392,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     93,                  1.574,                 1.1354,                0.96553,                0.73195,                0.59319,                0.67132,                0.47122,                 1.5534,                 1.1126,                0.97289,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     94,                 1.5924,                 1.1463,                0.96506,                0.74113,                0.59743,                0.66239,                0.46773,                 1.5608,                 1.1085,                0.97576,              5.245e-05,              5.245e-05,              5.245e-05
                     95,                 1.5696,                 1.1196,                0.96246,                0.69478,                0.62507,                0.67265,                0.47606,                 1.5508,                 1.1027,                0.97435,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     96,                 1.5591,                 1.1176,                0.95682,                 0.6918,                0.62669,                0.66972,                0.46908,                 1.5609,                 1.1016,                0.97384,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     97,                   1.58,                 1.1216,                 0.9634,                0.69033,                0.63265,                0.67312,                0.47305,                 1.5547,                 1.1032,                0.97207,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     98,                  1.572,                  1.111,                0.96095,                0.70732,                0.61814,                0.67229,                0.47497,                 1.5473,                 1.0951,                0.97047,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     99,                 1.5681,                 1.1098,                0.95785,                0.68628,                0.64364,                0.68015,                0.47731,                 1.5493,                 1.0902,                0.96982,             2.3344e-05,             2.3344e-05,             2.3344e-05
                    100,                   1.55,                 1.1031,                0.95893,                0.70967,                0.63307,                0.67962,                0.47664,                  1.553,                 1.0867,                 0.9702,             1.7522e-05,             1.7522e-05,             1.7522e-05
